wikidata,local_id,osm_id,geom,wikidataLabel
http://www.wikidata.org/entity/Q645204,1301209,332521,Point(-63.140833333 -4.085),Coari
http://www.wikidata.org/entity/Q1762074,1301308,332491,Point(-62.056944444 -3.836944444),Codajás
http://www.wikidata.org/entity/Q1646910,1301407,332511,Point(-69.874444444 -6.659722222),Eirunepé
http://www.wikidata.org/entity/Q1750090,1301506,332488,Point(-70.022777777 -7.432777777),Envira
http://www.wikidata.org/entity/Q1793768,1301605,332510,Point(-66.091666666 -2.513888888),Fonte Boa
http://www.wikidata.org/entity/Q1808440,1301654,332508,Point(-72.583888888 -7.545833333),Guajará
http://www.wikidata.org/entity/Q1025760,1301704,332523,Point(-63.020833333 -7.506111111),Humaitá
http://www.wikidata.org/entity/Q1794374,1301803,332520,Point(-71.695 -7.050833333),Ipixuna
http://www.wikidata.org/entity/Q1761947,1301852,332514,Point(-60.188611111 -3.285),Iranduba
http://www.wikidata.org/entity/Q1750426,1301902,332524,Point(-58.443888888 -3.142777777),Itacoatiara
http://www.wikidata.org/entity/Q1102558,1301951,332519,Point(-68.252777777 -6.425),Itamarati
http://www.wikidata.org/entity/Q1808448,1302009,332516,Point(-58.021944444 -2.748888888),Itapiranga
http://www.wikidata.org/entity/Q1757955,1302108,332494,Point(-66.598888888 -1.826111111),Japurá
http://www.wikidata.org/entity/Q1008285,1302207,332490,Point(-66.068888888 -3.480833333),Juruá
http://www.wikidata.org/entity/Q684641,1302306,332506,Point(-66.766944444 -2.746944444),jutaijuait
http://www.wikidata.org/entity/Q386631,1302405,332504,Point(-64.797777777 -7.258888888),Lábrea
http://www.wikidata.org/entity/Q983526,1302504,332469,Point(-60.620555555 -3.3),Manacapuru
http://www.wikidata.org/entity/Q1807976,1302553,332467,Point(-60.459444444 -3.428055555),Manaquiri
http://www.wikidata.org/entity/Q40236,1302603,332493,Point(-60.016666666 -3.1),Manaos
http://www.wikidata.org/entity/Q43490,1302702,332463,Point(-61.3 -5.808888888),Manicoré
http://www.wikidata.org/entity/Q1763270,1302801,332479,Point(-65.580833333 -1.855833333),Maraã
http://www.wikidata.org/entity/Q1808581,1302900,332475,Point(-57.718611111 -3.383611111),Maués
http://www.wikidata.org/entity/Q444511,13030,1335173,Point(-74.163611111 8.791388888),Altos del Rosario
http://www.wikidata.org/entity/Q1793306,1303007,332482,Point(-56.712777777 -2.185833333),Nhamundá
http://www.wikidata.org/entity/Q1772535,1303106,332481,Point(-59.093888888 -3.887777777),Nova Olinda do Norte
http://www.wikidata.org/entity/Q1750332,1303205,332468,Point(-60.943888888 -2.620833333),Novo Airão
http://www.wikidata.org/entity/Q1793549,1303304,332465,Point(-60.380555555 -5.121388888),Novo Aripuanã
http://www.wikidata.org/entity/Q926713,1303403,332517,Point(-56.735833333 -2.627777777),Parintins
http://www.wikidata.org/entity/Q1793494,1303502,332509,Point(-66.975833333 -7.713888888),Pauini
http://www.wikidata.org/entity/Q655097,1303536,332498,Point(-60.025 -2.017222222),Presidente Figueiredo
http://www.wikidata.org/entity/Q1793560,1303569,332500,Point(-59.7 -2.698888888),Rio Preto da Eva
http://www.wikidata.org/entity/Q1754543,1303601,332484,Point(-65.018888888 -0.413888888),Santa Isabel do Rio Negro
